Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
213,-0.05344,0.45038,0.12214,-1.01489,0.05322,-0.13281,0.00,0.00,0.00
214,-0.19847,0.18321,-0.00763,-1.01685,0.06128,-0.13550,0.00,0.00,0.00
215,0.01527,0.03053,0.06870,-1.01831,0.06421,-0.13599,0.00,0.00,0.00
216,0.00763,0.19847,0.12214,-1.01563,0.05713,-0.13477,0.00,0.00,0.00
217,-0.11450,0.26718,0.10687,-1.01831,0.06714,-0.13525,0.00,0.00,0.00
218,-0.09924,0.35115,-0.09924,-1.01855,0.05957,-0.14014,0.00,0.00,0.00
219,-0.25954,0.07634,-0.02290,-1.02100,0.06421,-0.13501,0.00,0.00,0.00
220,-0.21374,0.08397,0.14504,-1.01270,0.06836,-0.12744,0.00,0.00,0.00
221,-0.41985,0.11450,0.06870,-1.01245,0.06201,-0.13428,0.00,0.00,0.00
222,-0.22901,0.25191,0.09924,-1.01855,0.06079,-0.13257,0.00,0.00,0.00
223,-0.09160,0.09924,-0.01527,-1.01831,0.06494,-0.13574,0.00,0.00,0.00
224,-0.17557,0.36641,0.14504,-1.02002,0.05786,-0.12842,0.00,0.00,0.00
225,-0.28244,0.24427,0.12214,-1.02026,0.06201,-0.13770,0.00,0.00,0.00
226,-0.26718,0.43511,0.20611,-1.01978,0.06201,-0.12915,0.00,0.00,0.00
227,-0.25954,0.06870,0.19084,-1.01367,0.06567,-0.13794,0.00,0.00,0.00
228,-0.16794,0.30534,0.12977,-1.01465,0.06323,-0.12988,0.00,0.00,0.00
229,-0.41221,0.00763,0.01527,-1.01196,0.06250,-0.13013,0.00,0.00,0.00
230,-0.34351,0.35115,0.07634,-1.01587,0.06421,-0.14282,0.00,0.00,0.00
231,-0.29008,0.07634,0.16794,-1.01489,0.06543,-0.13672,0.00,0.00,0.00
232,-0.40458,0.46565,0.16794,-1.02124,0.06421,-0.13159,0.00,0.00,0.00
233,-0.41221,0.29008,0.03817,-1.01563,0.06763,-0.13672,0.00,0.00,0.00
234,-0.22901,0.24427,0.18321,-1.01367,0.06519,-0.13257,0.00,0.00,0.00
235,-0.60305,0.29771,0.05344,-1.01880,0.05933,-0.13770,0.00,0.00,0.00
236,-0.53435,0.34351,0.01527,-1.01636,0.06104,-0.13452,0.00,0.00,0.00
237,-0.32061,0.20611,0.22137,-1.01587,0.06567,-0.14038,0.00,0.00,0.00
238,-0.54198,0.14504,0.22901,-1.01685,0.06396,-0.14111,0.00,0.00,0.00
239,-0.20611,0.38168,0.25954,-1.02295,0.06689,-0.12793,0.00,0.00,0.00
240,-0.35115,0.12977,0.38931,-1.02295,0.06616,-0.13916,0.00,0.00,0.00
241,-0.25191,0.05344,0.25191,-1.01465,0.05835,-0.12988,0.00,0.00,0.00
242,-0.35878,0.40458,0.19847,-1.01270,0.06274,-0.13306,0.00,0.00,0.00
